언론사, 뉴스 제목
한국경제TV,[속보] 빌 게이츠 "코로나19 수백만 더 죽고 내년말 종식"
MBC,서울시청 직원 코로나19 확진…시청 본관 폐쇄
,[종합] 코로나 재확산에…대형마트 마스크 물량 긴급 확대
한국경제,[단독] 조덕제 코로나 방역 지침 어겨 檢 송치…'연예인 최초'
,이낙연 코로나 확진자 '밀접접촉' 분류…2주 자가격리(종합)
조선비즈,코로나 재확산에 내일 개최 예정이던 베이비페어 연기돼
파이낸셜뉴스,[단독] 철원 신병교육대에서 코로나 '양성' 나와
,'그놈이 그놈이다' 측 "배우 서성종 코로나19 확진…촬영 중단"[공식]
,철원 육군 6사단 입영자 1명 코로나19 확진(종합)
경향신문,경찰 광화문집회 투입 7600여명 ‘코로나19 전수조사’
부산일보,[단독] 서성종 이어 EBS ‘K팝 한국어’ PD·출연자도 코로나 확진…‘방송가...
YTN,'광화문 집회 참석' 차명진 전 의원 코로나19 확진
경향신문,경찰 광화문집회 투입 7600여명 ‘코로나19 전수조사’
,코로나 확산세에 정부 숙박·여행 할인도 결국 중단
조선일보,[단독]서울 강남구 포스코센터 근무 직원 코로나 확진 판정
이데일리,세븐일레븐 본사서 코로나 확진자 4명 발생
조선비즈,KAI 노사 11년만에 기본급 동결 합의… "코로나 위기 극복하자"
연합뉴스,여의도에 코로나 충격파…차명진 정치인 첫 확진(종합2보)
YTN,'코로나19 확진' CBS 정규방송 중단..."음악 방송 대체"
,[종합] 코로나 재확산에…대형마트 마스크 물량 긴급 확대
